N,P,K,temperature,humidity,ph,rainfall,label
65,45,125,26.0,90.0,5.8,160.0,turmeric
61,41,119,24.0,86.0,5.6,152.0,turmeric
80,40,90,27.0,80.0,5.5,200.0,blackpepper
82,42,88,26.5,82.0,5.7,205.0,blackpepper
78,38,92,27.5,78.0,5.3,195.0,blackpepper
85,45,95,28.0,85.0,5.8,210.0,blackpepper
81,41,91,26.0,81.0,5.6,202.0,blackpepper
30,20,20,20.0,65.0,6.0,100.0,silveroak
32,22,22,19.5,67.0,6.2,105.0,silveroak
28,18,18,21.0,63.0,5.8,95.0,silveroak
35,25,25,20.5,70.0,6.5,110.0,silveroak
31,21,21,19.0,66.0,6.1,102.0,silveroak
75,50,100,22.0,80.0,5.5,150.0,cardamom
77,52,98,21.5,82.0,5.7,155.0,cardamom
73,48,102,22.5,78.0,5.3,145.0,cardamom
80,55,105,23.0,85.0,5.8,160.0,cardamom
76,51,101,21.0,81.0,5.6,152.0,cardamom
50,30,60,27.0,87.0,6.5,200.0,vanilla
52,32,58,26.5,89.0,6.7,205.0,vanilla
48,28,62,27.5,85.0,6.3,195.0,vanilla
55,35,65,28.0,90.0,6.8,210.0,vanilla
51,31,61,26.0,88.0,6.6,202.0,vanilla
40,30,50,26.0,70.0,6.5,100.0,guava
42,32,52,25.5,72.0,6.7,105.0,guava
38,28,48,27.0,68.0,6.3,95.0,guava
45,35,55,26.5,75.0,6.8,110.0,guava
41,31,51,25.0,71.0,6.6,102.0,guava
60,40,80,25.0,80.0,6.0,150.0,ginger
62,42,78,24.5,82.0,6.2,155.0,ginger
58,38,82,25.5,78.0,5.8,145.0,ginger
65,45,85,26.0,85.0,6.5,160.0,ginger
61,41,81,24.0,81.0,6.1,152.0,ginger
80,50,80,28.0,85.0,6.5,150.0,betelleaf
82,52,78,27.5,87.0,6.7,155.0,betelleaf
78,48,82,28.5,83.0,6.3,145.0,betelleaf
85,55,85,29.0,90.0,6.8,160.0,betelleaf
81,51,81,27.0,86.0,6.6,152.0,betelleaf
80,45,60,27.0,78.0,5.5,200.0,arecanut
82,47,62,26.5,80.0,5.7,205.0,arecanut
78,43,58,27.5,76.0,5.3,195.0,arecanut
85,50,65,28.0,82.0,5.8,210.0,arecanut
81,46,61,26.0,79.0,5.6,202.0,arecanut
50,30,50,28.0,75.0,6.5,150.0,jackfruit
52,32,52,27.5,77.0,6.7,155.0,jackfruit
48,28,48,28.5,73.0,6.3,145.0,jackfruit
55,35,55,29.0,80.0,6.8,160.0,jackfruit
51,31,51,27.0,76.0,6.6,152.0,jackfruit
60,30,80,26.0,70.0,5.5,100.0,pineapple
62,32,78,25.5,72.0,5.7,105.0,pineapple
58,28,82,26.5,68.0,5.3,95.0,pineapple
65,35,85,27.0,75.0,5.8,110.0,pineapple
61,31,81,25.0,71.0,5.6,102.0,pineapple
50,40,80,25.0,70.0,6.5,120.0,passionfruit
52,42,78,24.5,72.0,6.7,125.0,passionfruit
48,38,82,25.5,68.0,6.3,115.0,passionfruit
55,45,85,26.0,75.0,6.8,130.0,passionfruit
51,41,81,24.0,71.0,6.6,122.0,passionfruit
40,30,40,27.0,85.0,6.5,200.0,cocoa
42,32,42,26.5,87.0,6.7,205.0,cocoa
38,28,38,27.5,83.0,6.3,195.0,cocoa
45,35,45,28.0,90.0,6.8,210.0,cocoa
41,31,41,26.0,86.0,6.6,202.0,cocoa
30,20,20,28.0,65.0,6.5,150.0,teak
32,22,22,27.5,67.0,6.7,155.0,teak
28,18,18,28.5,63.0,6.3,145.0,teak
35,25,25,29.0,70.0,6.8,160.0,teak
31,21,21,27.0,66.0,6.6,152.0,teak
25,20,20,27.0,70.0,6.5,150.0,mahogany
27,22,22,26.5,72.0,6.7,155.0,mahogany
23,18,18,27.5,68.0,6.3,145.0,mahogany
30,25,25,28.0,75.0,6.8,160.0,mahogany
26,21,21,26.0,71.0,6.6,152.0,mahogany
50,30,60,24.0,80.0,6.0,150.0,galangal
52,32,62,23.5,82.0,6.2,155.0,galangal
48,28,58,24.5,78.0,5.8,145.0,galangal
55,35,65,25.0,85.0,6.5,160.0,galangal
51,31,61,23.0,81.0,6.1,152.0,galangal
